Name,Rare drop date
CS:GO Weapon Case,28-11-2013
Operation Bravo Case,05-02-2014
CS:GO Weapon Case 2,12-02-2014
Winter Offensive Weapon Case,01-10-2014
Operation Vanguard Weapon Case,31-03-2015
CS:GO Weapon Case 3,15-04-2015
Huntsman Weapon Case,15-04-2015
Chroma Case,17-09-2015
Operation Phoenix Weapon Case,08-12-2015
Operation Breakout Weapon Case,20-04-2016
Falchion Case,15-06-2016
Shadow Case,18-08-2016
Chroma 2 Case,15-03-2017
Operation Wildfire Case,14-09-2017
Operation Hydra Case,13-11-2017
Gamma Case,15-02-2018
Glove Case,06-12-2018
Spectrum Case,13-03-2019
Prisma Case,03-05-2021
Revolver Case,03-06-2021
Chroma 3 Case,03-06-2021
Gamma 2 Case,03-06-2021
CS20 Case,03-06-2021
Horizon Case,03-06-2021
Spectrum 2 Case,03-06-2021
Danger Zone Case,20-01-2022
Prisma 2 Case,01-07-2022
Clutch Case,08-04-2023
Snakebite Case,07-02-2024
