name,release_date,inactive_date,status
CSGO Weapon Case,2013-08-14,2013-11-28,Rare
eSports 2013 Case,2013-08-14,2013-12-18,Discontinued
Operation Bravo Case,2013-09-19,2014-02-05,Rare
CSGO Weapon Case 2,2013-11-08,2014-02-12,Rare
eSports 2013 Winter Case,2013-12-18,2014-07-10,Discontinued
Winter Offensive Weapon Case,2013-12-18,2014-10-01,Rare
CSGO Weapon Case 3,2014-02-12,2015-04-15,Rare
Operation Phoenix Weapon Case,2014-02-20,2015-12-08,Rare
Huntsman Weapon Case,2014-05-01,2015-04-15,Rare
Operation Breakout Weapon Case,2014-07-01,2016-04-20,Rare
eSports 2014 Summer Case,2014-07-10,2015-09-17,Discontinued
Operation Vanguard Weapon Case,2014-11-11,2015-03-31,Rare
Chroma Case,2015-01-08,2015-09-17,Rare
Chroma 2 Case,2015-04-15,2017-03-15,Rare
Falchion Case,2015-05-26,2016-06-15,Rare
Shadow Case,2015-09-17,2016-08-18,Rare
Revolver Case,2015-12-08,2021-06-03,Rare
Operation Wildfire Case,2016-02-17,2017-09-14,Rare
Chroma 3 Case,2016-04-20,2021-06-03,Rare
Gamma Case,2016-06-15,2018-02-15,Rare
Gamma 2 Case,2016-08-18,2021-06-03,Rare
Glove Case,2016-11-28,2018-12-06,Rare
Spectrum Case,2017-03-15,2019-03-13,Rare
Operation Hydra Case,2017-05-23,2017-11-13,Rare
Spectrum 2 Case,2017-09-14,2021-06-03,Rare
Clutch Case,2018-02-15,2023-02-10,Rare
Horizon Case,2018-08-02,2021-06-03,Rare
Danger Zone Case,2018-12-06,2022-01-18,Rare
Prisma Case,2019-03-13,2021-05-03,Rare
CS20 Case,2019-10-18,2021-06-03,Rare
Shattered Web Case,2019-11-19,2020-03-31,Discontinued
Prisma 2 Case,2020-03-31,2022-07-01,Rare
Fracture Case,2020-08-06,,Actively Dropping
Broken Fang Case,2020-12-03,2021-05-03,Discontinued
Snakebite Case,2021-05-03,2024-02-06,Rare
Riptide Case,2021-09-21,2022-02-21,Discontinued
Dreams & Nightmare Case,2022-01-18,,Actively Dropping
Recoil Case,2022-07-01,,Actively Dropping
Revolution Case,2023-02-10,,Actively Dropping
Kilowatt Case,2024-02-06,,Actively Dropping
Gallery Case,2024-10-02,,Armory Reward
Fever Case,2025-03-31,,Armory Reward
