Name,Start Date,End Date
DreamHack Winter 2013,28-11-2013,30-11-2013
EMS One Katowice 2014,13-03-2014,16-03-2014
ESL One Cologne 2014,14-08-2014,17-08-2014
DreamHack Winter 2014,27-11-2014,29-11-2014
ESL One Katowice 2015,12-03-2015,15-03-2015
ESL One Cologne 2015,20-08-2015,23-08-2015
DreamHack Open Cluj-Napoca 2015,28-10-2015,1-11-2015
MLG Columbus 2016,29-03-2016,3-04-2016
ESL One Cologne 2016,5-07-2016,10-07-2016
ELEAGUE Major 2017,22-01-2017,29-01-2017
PGL Major: Kraków 2017,16-07-2017,23-07-2017
ELEAGUE Major: Boston 2018,12-01-2018,28-01-2018
FACEIT Major: London 2018,14-09-2018,23-09-2018
IEM Katowice Major 2019,13-02-2019,3-03-2019
StarLadder Major: Berlin 2019,23-08-2019,8-09-2019
PGL Major Stockholm 2021,23-10-2021,7-11-2021
PGL Major Antwerp 2022,9-05-2022,22-05-2022
IEM Rio Major 2022,31-10-2022,13-11-2022
BLAST Paris Major 2023,8-05-2023,21-05-2023
PGL Major Copenhagen 2024,17-03-2024,31-03-2024
Perfect World Shanghai Major 2024,30-11-2024,15-12-2024
BLAST.tv Austin Major 2025,3-06-2025,22-06-2025
StarLadder Budapest Major 2025,1-11-2025,1-12-2025
IEM Cologne Major 2026,1-08-2026,30-08-2026
